,longitude,latitude,zipcode,num_bedrooms,num_bathrooms,listing_price,neighborhood,street_address
1090,-97.73582,30.32966,78756,1.0,1.0,150.0,Brentwood,5608 Jim Hogg Avenue
1091,-97.77818,30.2497,78704,2.0,2.0,165.0,Zilker,2104 De Verne Street
1092,-97.68194,30.2572,78721,2.0,2.0,600.0,,South Annex Arthur Stiles Road
1093,-97.70703,30.26286,78702,2.0,2.0,106.0,Govalle,2900 Castro Street
1094,-97.75208,30.25759,78704,2.0,2.0,950.0,South First,620 South 1st Street
1095,-97.81211,30.20162,78745,2.0,2.0,110.0,Cherry Creek,7208 Aldea Drive
1096,-97.75073,30.39746,78759,2.0,2.0,200.0,,Great Hills Park & Ride Jollyville Road
1097,-97.73227,30.23983,78741,4.0,4.0,400.0,East Riverside,1602 Parker Lane
1098,-97.65235,30.37971,78754,1.0,1.0,180.0,Copperfield,12037 Dessau Road
1099,-97.75086,30.24004,78704,3.0,3.0,159.0,Greater South River City,2201 Post Road
1100,-97.74292,30.26703,78701,2.0,2.0,326.0,Greater South River City,103 East 5th Street
1101,-97.76059,30.24503,78704,3.0,3.0,500.0,South First,717 West Live Oak Street
1102,-97.78356,30.2459,78704,1.0,1.0,400.0,Barton Hills,2804 Westhill Drive
1103,-97.91864,30.23128,78737,1.0,1.0,65.0,,8900 Butler Circle
1104,-97.78444,30.23832,78704,2.0,2.0,210.0,South Lamar,3622 Menchaca Road
1105,-97.78532,30.23484,78704,2.0,2.0,131.0,South Lamar,3810 Menchaca Road
1106,-97.74561,30.22092,78741,2.0,2.0,75.0,Parker Lane,1619 Woodward Street
1107,-97.71393,30.27984,78702,1.0,1.0,200.0,East Downtown,1801 Cedar Avenue
1108,-97.76569,30.25507,78704,1.0,1.0,400.0,Zilker,1213 Kinney Avenue
1109,-97.74004,30.26431,78701,4.0,4.0,509.0,Downtown,Austin Convention Center 500
1110,-97.89249,30.41613,78732,3.0,3.0,295.0,,14098 Lakeview Drive
1111,-97.77563,30.22201,78745,2.0,2.0,400.0,South Manchaca,715 West Saint Elmo Road
1112,-97.74378,30.29201,78705,1.0,1.0,375.0,West Campus,2703 Rio Grande Street
1113,-97.72996,30.27458,78702,2.0,2.0,133.0,East Downtown,906 East 14th Street
1114,-97.74511,30.25482,78704,1.0,1.0,1200.0,,uShip 205
1115,-97.75601,30.30548,78703,5.0,5.0,1200.0,Bryker Woods,3207 Oakmont Boulevard
1116,-97.73905,30.30124,78705,1.0,1.0,225.0,University of Texas,3423 Guadalupe Street
1117,-97.71907,30.27433,78702,2.0,2.0,150.0,Rosewood,1206 Poquito Street
1118,-97.75068,30.26944,78701,2.0,2.0,299.0,Downtown,Fifth & West Residence 501
1119,-97.73069,30.26142,78702,2.0,2.0,1000.0,East Downtown,204 Attayac Street
1120,-97.70229,30.27799,78702,3.0,3.0,239.0,Rosewood,3103 East 14th Street
1121,-97.78026,30.2764,78746,3.0,3.0,850.0,Rollingwood,5 Inwood Circle
1122,-97.71228,30.29175,78722,1.0,1.0,200.0,Upper Boggy Creek,3811 Half Penny Road
1123,-97.73551,30.27065,78701,2.0,2.0,500.0,Downtown,Doyle House Red River Street
1124,-97.73369,30.23721,78741,3.0,3.0,285.0,East Riverside,1815 Parker Lane
1125,-97.74386,30.31153,78756,1.0,1.0,175.0,Rosedale,4111 Burnet Road
1126,-97.68605,30.30581,78723,4.0,4.0,689.0,Windsor Park,2402 Trafalgar Drive
1127,-97.76668,30.25447,78704,1.0,1.0,149.0,Zilker,1405 Kinney Avenue
1129,-97.71591,30.27674,78702,1.0,1.0,295.0,East Downtown,2306 East 14th Street
1130,-97.75891,30.25305,78704,2.0,2.0,490.0,Bouldin Creek,1305 South 5th Street
1131,-97.80192,30.22157,78745,4.0,4.0,550.0,Westgate,5308 Buffalo Pass
1132,-97.72591,30.2682,78702,4.0,4.0,618.0,East Downtown,1402 East 11th Street
1133,-97.73916,30.2975,78705,1.0,1.0,150.0,University of Texas,3104 Hemphill Park
1134,-97.7122,30.33896,78752,1.0,1.0,75.0,Highland,500 West Croslin Street
1135,-97.72352,30.27468,78702,1.0,1.0,375.0,East Downtown,1504 East 13th Street
1136,-97.69841,30.26491,78702,3.0,3.0,450.0,Govalle,3604 Govalle Avenue
1137,-97.74912,30.35742,78731,2.0,2.0,100.0,Northwest Hills,7407 Shadow Hill Drive
1138,-97.71456,30.27209,78702,1.0,1.0,144.0,Rosewood,Rosewood Recreation Center Pleasant Valley Road
1139,-97.77286,30.25976,78704,1.0,1.0,130.0,Barton Hills,2204 Trailside Drive
1141,-97.728,30.4189,78727,1.0,1.0,75.0,,4503 Brown Bark Place
1142,-97.75468,30.24304,78704,1.0,1.0,179.0,South Congress,2112 Newton Street
1143,-97.7466,30.28649,78705,2.0,2.0,375.0,West Campus,2210 Pearl Street
1144,-97.75785,30.24408,78704,1.0,1.0,152.0,South First,2209 South 1st Street
1145,-97.72393,30.30312,78751,1.0,1.0,65.0,Hancock,704 Park Boulevard
1146,-97.74811,30.2862,78705,3.0,3.0,300.0,West Campus,2204 San Gabriel Street
1148,-97.70446,30.26736,78702,1.0,1.0,600.0,Govalle,1114 Linden Street
1149,-97.74362,30.29167,78705,1.0,1.0,250.0,West Campus,2707 Rio Grande Street
1150,-97.80487,30.22244,78745,1.0,1.0,100.0,Westgate,5300 Indio Cove
1151,-97.69921,30.31212,78723,1.0,1.0,75.0,Windsor Park,1412 Ridgemont Drive
1152,-97.72817,30.23312,78741,1.0,1.0,199.0,East Riverside,1907 Willow Creek Drive
1153,-97.7385,30.33321,78756,1.0,1.0,150.0,Brentwood,1904 Ullrich Avenue
1154,-97.75648,30.27577,78703,1.0,1.0,288.0,Old West Austin,1208 West 9th Street
1155,-97.78298,30.24597,78704,1.0,1.0,130.0,,2306 Barton Village Circle
1156,-97.72625,30.27055,78702,1.0,1.0,150.0,East Downtown,1172 San Bernard Street
1157,-97.68922,30.30901,78723,1.0,1.0,200.0,Windsor Park,2002 Delwood Court
1158,-97.71107,30.29252,78722,1.0,1.0,89.0,Upper Boggy Creek,1715 East 40th Street
1159,-97.68093,30.26974,78721,1.0,1.0,115.0,MLK & 183,5502 Ledesma Road
1161,-97.7485,30.28967,78705,1.0,1.0,150.0,West Campus,1010 West 25th Street
1162,-97.77492,30.22315,78745,1.0,1.0,250.0,South Manchaca,4319 James Casey Street
1163,-97.78865,30.25761,78746,1.0,1.0,450.0,Barton Hills,Woods on Barton Skyway Austin
1164,-97.75842,30.27904,78703,1.0,1.0,74.0,Old West Austin,1100 Elm Street
1165,-97.78397,30.24138,78704,1.0,1.0,98.0,South Lamar,3005 South Lamar Boulevard
1166,-97.75216,30.31387,78731,3.0,3.0,315.0,Rosedale,Manifest Lane The Grove
1167,-97.73398,30.43761,78727,1.0,1.0,150.0,,13401 Legendary Drive
1168,-97.76326,30.23229,78704,1.0,1.0,88.0,Dawson,408 South Park Drive
1169,-97.75619,30.27373,78703,1.0,1.0,325.0,Old West Austin,617 Blanco Street
