,street_address,zipcode,num_bedrooms,num_bathrooms,home_price,latest_saledate,latest_salemonth,latest_saleyear,URL
53,360 Nueces St APT 1407,78701,1,1,,30,7,2019,https://www.zillow.com/homedetails/360-Nueces-St-APT-1407-Austin-TX-78701/89546838_zpid/
54,360 Nueces St APT 1901,78701,1,1,649000,31,3,2021,https://www.zillow.com/homedetails/360-Nueces-St-APT-1901-Austin-TX-78701/89547065_zpid/
55,3904 Highland Dr,78734,1,1,450000,17,11,2021,https://www.zillow.com/homedetails/3904-Highland-Dr-Austin-TX-78734/29363603_zpid/
56,400 W 35th St APT 106,78705,1,1,286300,15,7,2020,https://www.zillow.com/homedetails/400-W-35th-St-APT-106-Austin-TX-78705/80097907_zpid/
57,4323 Airport Blvd,78722,2,1,534000,3,4,2021,https://www.zillow.com/homedetails/4323-Airport-Blvd-Austin-TX-78722/29399598_zpid/
58,4501 Gillis St,78745,3,1,729700,1,7,2021,https://www.zillow.com/homedetails/4501-Gillis-St-Austin-TX-78745/58313130_zpid/
59,4604 S 1st St,78745,3,1,452700,16,3,2021,https://www.zillow.com/homedetails/4604-S-1st-St-Austin-TX-78745/29480352_zpid/
60,5005 Avenue F,78751,3,1,780400,9,9,2021,https://www.zillow.com/homedetails/5005-Avenue-F-Austin-TX-78751/29406367_zpid/
61,501 W 26th St APT 326,78705,1,1,,25,9,2020,https://www.zillow.com/homedetails/501-W-26th-St-APT-326-Austin-TX-78705/29394111_zpid/
62,504 Denson Dr,78752,2,1,552000,4,2,2022,https://www.zillow.com/homedetails/504-Denson-Dr-Austin-TX-78752/29412536_zpid/
63,505 W 7th St APT 112,78701,1,1,,23,11,2021,https://www.zillow.com/homedetails/505-W-7th-St-APT-112-Austin-TX-78701/29385868_zpid/
64,54 Rainey St APT 917,78701,1,1,534600,16,8,2019,https://www.zillow.com/homedetails/54-Rainey-St-APT-917-Austin-TX-78701/70351958_zpid/
65,54 Rainey St PENTHOUSE 20,78701,1,1,529990,8,9,2020,https://www.zillow.com/homedetails/54-Rainey-St-PENTHOUSE-20-Austin-TX-78701/69811039_zpid/
66,555 E 5th St APT 2801,78701,1,1,621900,2,7,2019,https://www.zillow.com/homedetails/555-E-5th-St-APT-2801-Austin-TX-78701/64460171_zpid/
67,5820 Berkman Dr APT 216,78723,1,1,199000,8,3,2021,https://www.zillow.com/homedetails/5820-Berkman-Dr-APT-216-Austin-TX-78723/145654196_zpid/
68,601 W Odell St,78752,1,1,644700,14,6,2021,https://www.zillow.com/homedetails/601-W-Odell-St-Austin-TX-78752/2069894477_zpid/
69,608 Amesbury Ln,78752,3,1,560300,4,1,2022,https://www.zillow.com/homedetails/608-Amesbury-Ln-Austin-TX-78752/29417375_zpid/
70,608 Clifford Dr,78745,3,1,424500,19,1,2021,https://www.zillow.com/homedetails/608-Clifford-Dr-Austin-TX-78745/29479823_zpid/
71,6700 Cooper Ln APT 37,78745,2,1,299000,11,8,2021,https://www.zillow.com/homedetails/6700-Cooper-Ln-APT-37-Austin-TX-78745/89551884_zpid/
72,6801 Shier Cv #A,78745,2,1,722900,25,3,2021,https://www.zillow.com/homedetails/6801-Shier-Cv-A-Austin-TX-78745/2110569409_zpid/
73,700 Winflo Dr,78703,2,1,1354400,18,12,2020,https://www.zillow.com/homedetails/700-Winflo-Dr-Austin-TX-78703/29327437_zpid/
74,707 Springdale Rd,78702,2,1,725300,1,10,2020,https://www.zillow.com/homedetails/707-Springdale-Rd-Austin-TX-78702/29383568_zpid/
75,710 Colorado St APT 5C,78701,1,1,497800,9,1,2020,https://www.zillow.com/homedetails/710-Colorado-St-APT-5C-Austin-TX-78701/2083404800_zpid/
76,7204 Forest Wood Rd,78745,3,1,614400,10,3,2022,https://www.zillow.com/homedetails/7204-Forest-Wood-Rd-Austin-TX-78745/29497549_zpid/
77,7685 Northcross Dr UNIT 709,78757,1,1,,25,3,2022,https://www.zillow.com/homedetails/7685-Northcross-Dr-UNIT-709-Austin-TX-78757/121655906_zpid/
78,800 Brazos St,78701,1,1,532600,1,7,2020,https://www.zillow.com/homedetails/800-Brazos-St-Austin-TX-78701/2111387480_zpid/
79,800 Brazos St UNIT 1111,78701,1,1,385900,15,5,2020,https://www.zillow.com/homedetails/800-Brazos-St-UNIT-1111-Austin-TX-78701/80094695_zpid/
80,800 Brazos St UNIT 1311,78701,1,1,380900,13,11,2019,https://www.zillow.com/homedetails/800-Brazos-St-UNIT-1311-Austin-TX-78701/80106817_zpid/
81,801 E 45th St,78751,2,1,837600,21,3,2021,https://www.zillow.com/homedetails/801-E-45th-St-Austin-TX-78751/29400751_zpid/
82,807 Eberhart Ln,78745,3,1,362800,15,1,2021,https://www.zillow.com/homedetails/807-Eberhart-Ln-Austin-TX-78745/29494612_zpid/
83,809 Herndon Ln,78704,2,1,1158500,29,4,2021,https://www.zillow.com/homedetails/809-Herndon-Ln-Austin-TX-78704/29475025_zpid/
84,8105 W Gate Blvd #A,78745,2,1,417300,31,1,2022,https://www.zillow.com/homedetails/8105-W-Gate-Blvd-A-Austin-TX-78745/2067537951_zpid/
85,812 Keasbey St,78751,2,1,882600,22,2,2021,https://www.zillow.com/homedetails/812-Keasbey-St-Austin-TX-78751/29400759_zpid/
86,82 San Marcos St,78702,2,1,1142600,1,7,2021,https://www.zillow.com/homedetails/82-San-Marcos-St-Austin-TX-78702/29383948_zpid/
87,900 S Lamar Blvd APT 206,78704,2,1,,10,9,2021,https://www.zillow.com/homedetails/900-S-Lamar-Blvd-APT-206-Austin-TX-78704/79981336_zpid/
88,904 West Ave #115,78701,1,1,535200,15,7,2020,https://www.zillow.com/homedetails/904-West-Ave-115-Austin-TX-78701/119621477_zpid/
89,908 Nueces St UNIT 35,78701,1,1,,23,4,2021,https://www.zillow.com/homedetails/908-Nueces-St-UNIT-35-Austin-TX-78701/251029487_zpid/
90,908 Nueces St UNIT 45,78701,1,1,614000,18,3,2020,https://www.zillow.com/homedetails/908-Nueces-St-UNIT-45-Austin-TX-78701/251029677_zpid/
91,910 W 25th St,78705,1,1,473700,22,9,2020,https://www.zillow.com/homedetails/910-W-25th-St-Austin-TX-78705/2103778639_zpid/
92,913 Duncan Ln #205,78705,1,1,412500,7,8,2020,https://www.zillow.com/homedetails/913-Duncan-Ln-205-Austin-TX-78705/2078734300_zpid/
93,914 E 32nd St APT 101,78705,1,1,,3,12,2021,https://www.zillow.com/homedetails/914-E-32nd-St-APT-101-Austin-TX-78705/29396051_zpid/
94,9226 Jollyville Rd APT 135,78759,1,1,,19,1,2022,https://www.zillow.com/homedetails/9226-Jollyville-Rd-APT-135-Austin-TX-78759/58302760_zpid/
95,935 La Posada Dr #134,78752,1,1,195000,6,7,2021,https://www.zillow.com/homedetails/935-La-Posada-Dr-134-Austin-TX-78752/241935496_zpid/
96,1514 Parker Ln APT 205,78741,1,1,347000,14,6,2021,https://www.zillow.com/homedetails/1514-Parker-Ln-APT-205-Austin-TX-78741/29460714_zpid/
