ID,Address,SFT,Beds,Baths,Price
22,"Abode @ White Rock Dallas, TX 75228","3,130 sqft",4bd,4ba,"$889,000+"
23,"6720 Willow Ln Dallas, TX 75230","2,612 sqft (on 0.38 acres)",3bd,4ba,"$820,000"
24,"4231 Rawlins St #20 Dallas, TX 75219","2,029 sqft",2bd,3ba,"$450,000"
25,"1818 N Fitzhugh Ave #5 Dallas, TX 75204",642 sqft,1bd,1ba,"$180,000"
26,"2250 Peavy Cir Dallas, TX 75228","1,599 sqft",3bd,2ba,"$435,500"
27,"2729 Kool Ave Dallas, TX 75241","1,080 sqft",3bd,2ba,"$160,000"
28,"13808 Far Hills Ln Dallas, TX 75240","2,334 sqft (on 0.26 acres)",3bd,3ba,"$595,000"
29,"355 Avenue E Dallas, TX 75203",NA,NA,NA,"$90,000"
30,"2220 Canton St #403 Dallas, TX 75201","1,503 sqft",1bd,2ba,"$450,000"
31,"4515 Cowan Ave Dallas, TX 75209","4,109 sqft",4bd,4ba,"$1,195,000"
32,"11345 W Ricks Cir Dallas, TX 75230","6,325 sqft (on 1.33 acres)",3bd,4ba,"$6,999,999"
33,"9506 Faircrest Dr Dallas, TX 75238","3,628 sqft (on 0.27 acres)",5bd,4ba,"$899,000"
34,"University Place Dallas, TX 75252","3,242 sqft",4bd,4ba,"$842,499+"
35,"University Place Dallas, TX 75252","2,167 sqft",4bd,3ba,"$673,499+"
36,"12123 Shirestone Ln Dallas, TX 75244","3,408 sqft (on 0.33 acres)",4bd,4ba,"$1,799,000"
37,"10307 Ridge Oak St Dallas, TX 75227","1,268 sqft",3bd,2ba,"$215,000"
38,"3723 Bertrand Ave Dallas, TX 75210",NA,NA,NA,"$60,000"
39,"15 Loop 12 Desoto, TX 75115",NA,NA,NA,"$555,000"
0,"1320 Old James Ct Celina, TX 75009",NA,NA,NA,"$365,000"
1,"8085 Meadow Rd #226 Dallas, TX 75231","1,433 sqft",3bd,2ba,"$345,000"
2,"210 W Jerden Ln Dallas, TX 75208","1,820 sqft",3bd,3ba,"$400,000"
3,"4104 Shorecrest Dr Dallas, TX 75209",NA,NA,NA,"$900,000"
4,"2722 Springdale St Dallas, TX 75210","1,642 sqft",4bd,2ba,"$260,000"
