ID,Address,SFT,Beds,Baths,Price
6,"1339 E Kiest Blvd Dallas, TX 75216","1,670 sqft (on 0.33 acres)",2bd,2ba,"$220,000"
7,"Bleu Ciel Living Dallas, TX 75201","2,973 sqft",3bd,4ba,"$3,276,000+"
8,"2644 Lakeland Dr Dallas, TX 75228","2,748 sqft",4bd,3ba,"$575,000"
9,"3756 Vancouver Dr Dallas, TX 75229","2,858 sqft (on 0.37 acres)",5bd,4ba,"$889,000"
10,"7711 Turnberry Ln Dallas, TX 75248","3,429 sqft (on 0.31 acres)",4bd,4ba,"$815,000"
11,"6413 Elam Rd Dallas, TX 75217","1,617 sqft",4bd,2ba,"$319,900"
12,"18240 Midway Rd #1203 Dallas, TX 75287","1,446 sqft",3bd,3ba,"$303,000"
13,"531 Sunnyside Ave Cockrell Hill, TX 75211","2,845 sqft",4bd,3ba,"$499,900"
14,"314 Neches St Dallas, TX 75208","1,290 sqft",2bd,1ba,"$375,000"
15,"9843 Sophora Cir Dallas, TX 75249","1,412 sqft",3bd,2ba,"$200,000"
16,"9601 Forest Ln #1124 Dallas, TX 75243","1,137 sqft",2bd,2ba,"$140,000"
17,"2304 Bonnie View Rd Dallas, TX 75216",NA,NA,NA,"$249,000"
18,"4060 Travis St #9 Dallas, TX 75204","2,603 sqft (on 0.85 acres)",3bd,3ba,"$915,000"
19,"12609 Royal Oaks Ln Farmers Branch, TX 75234","3,480 sqft",4bd,3ba,"$975,000"
20,"11070 Delford Cir Dallas, TX 75228","1,826 sqft",3bd,2ba,"$360,000"
21,"17765 Agave Ln Dallas, TX 75252","1,982 sqft",3bd,3ba,"$482,500"
22,"8823 Liptonshire Dr Dallas, TX 75238","1,620 sqft",3bd,2ba,"$375,000"
23,"8721 Flint Falls Dr Dallas, TX 75243","2,189 sqft",4bd,3ba,"$550,000"
24,"5710 Kenwood Ave Dallas, TX 75206","1,443 sqft",3bd,2ba,"$649,900"
25,"5302 Preservation Ln Dallas, TX 75236","3,725 sqft (on 0.35 acres)",4bd,4ba,"$614,900"
26,"2855 Peary Ave Dallas, TX 75215",NA,NA,NA,"$55,000"
27,"15623 Golden Creek Rd Dallas, TX 75248","2,561 sqft",3bd,3ba,"$575,000"
28,"9801 Royal Ln #701 Dallas, TX 75231","1,067 sqft",2bd,2ba,"$218,500"
29,"6840 Truxton Dr Dallas, TX 75231","2,558 sqft",4bd,3ba,"$939,000"
30,"6507 Trammel Dr Dallas, TX 75214",NA,NA,NA,"$399,999"
31,"4208 Bowser Ave #A Dallas, TX 75219",952 sqft,2bd,2ba,"$335,000"
32,"6475 Bordeaux Ave #A Dallas, TX 75209","1,027 sqft",2bd,2ba,"$350,000"
33,"5335 Bent Tree Forest Dr #119 Dallas, TX 75248",783 sqft,1bd,2ba,"$165,700"
34,"2317 N Prairie Ave Dallas, TX 75204","5,672 sqft",6bd,6ba,"$1,695,000"
35,"5026 Manett St #102 Dallas, TX 75206","2,116 sqft",3bd,4ba,"$700,000"
36,"600 Cantegral St Dallas, TX 75204","3,944 sqft",3bd,4ba,"$1,300,000"
37,"2053 Marydale Dr Dallas, TX 75208","1,717 sqft",3bd,2ba,"$529,000"
38,"13128 Burninglog Ln Dallas, TX 75243","1,528 sqft",3bd,3ba,"$260,000"
39,"1735 Waco Ave Dallas, TX 75216",776 sqft,3bd,2ba,"$75,000"
0,"8910 Dartway Dr Dallas, TX 75227","1,772 sqft (on 0.27 acres)",3bd,2ba,"$283,000"
1,"1707 Caravan Trl Dallas, TX 75241","1,439 sqft (on 0.25 acres)",3bd,2ba,"$185,000"
2,"1522 Toronto St Dallas, TX 75212",788 sqft,Studio,1ba,"$288,000"
3,"1510 Toronto St Dallas, TX 75212",904 sqft,Studio,1ba,"$288,000"
4,"8660 Grenadier Ct Dallas, TX 75238","1,689 sqft",3bd,2ba,"$299,900"
5,"1530 Monte Carlo St Dallas, TX 75224","1,575 sqft",3bd,2ba,"$325,000"
6,"6320 Cinnamon Oaks Dr Dallas, TX 75241","1,073 sqft",3bd,2ba,"$160,000"
7,"3701 Turtle Creek Blvd #5BF Dallas, TX 75219",832 sqft,1bd,1ba,"$235,000"
8,"4527 Bluffview Blvd Dallas, TX 75209","4,573 sqft (on 0.47 acres)",3bd,5ba,"$4,950,000"
9,"2827 S Denley Dr Dallas, TX 75216","1,321 sqft (on 0.38 acres)",1bd,2ba,"$278,349"
10,"8410 Timberbrook Ln Dallas, TX 75249","1,852 sqft",4bd,3ba,"$325,000"
11,"1921 Courtside Dr Grand Prairie, TX 75051","1,360 sqft",3bd,2ba,"$268,000"
12,"522 S Glasgow Dr #2 Dallas, TX 75223","1,540 sqft",2bd,1ba,"$240,000"
13,"2967 50th St Dallas, TX 75216","1,248 sqft",3bd,1ba,"$139,000"
14,"2425 E Overton Rd Dallas, TX 75216",992 sqft,3bd,2ba,"$139,000"
15,"1603 Caldwell St Dallas, TX 75223","1,090 sqft",3bd,2ba,"$249,900"
16,"3025 Amherst Ave Dallas, TX 75225","6,510 sqft (on 0.25 acres)",5bd,7ba,"$3,359,000"
17,"4111 Cole Ave #21 Dallas, TX 75204","1,090 sqft",2bd,2ba,"$315,000"
18,"623 Mount Auburn Ave Dallas, TX 75223","1,110 sqft",3bd,2ba,"$250,000"
19,"5200 Martel Ave #3J Dallas, TX 75206",837 sqft,1bd,2ba,"$205,000"
20,"6634 Cool Morn Dr Dallas, TX 75241","1,424 sqft",3bd,2ba,"$230,000"
21,"4321 Frank St Dallas, TX 75210",984 sqft,2bd,2ba,"$150,000"
22,"2422 Grafton Ave Dallas, TX 75211","1,124 sqft",2bd,1ba,"$315,000"
23,"6329 Crestmont Dr Dallas, TX 75214","2,371 sqft",4bd,3ba,"$779,500"
24,"5822 Cary Ave Dallas, TX 75227","1,500 sqft (on 0.25 acres)",5bd,2ba,"$269,000"
25,"2278 Red Chute Dr Dallas, TX 75253","1,840 sqft",3bd,2ba,"$309,500"
26,"1637 Duet Dr Dallas, TX 75241","1,963 sqft",4bd,3ba,"$279,000"
27,"1218 Wilbur St Dallas, TX 75224","1,569 sqft",3bd,2ba,"$350,000"
28,"108 S Edgefield Ave Dallas, TX 75208",NA,NA,NA,"$425,000"
29,"2422 Glengariff Dr Dallas, TX 75228","1,313 sqft",3bd,1ba,"$239,900"
30,"10315 Springhaven Dr Dallas, TX 75217","1,384 sqft",3bd,2ba,"$239,900"
31,"3716 Binkley Ave University Park, TX 75205","4,352 sqft",3bd,4ba,"$1,695,000"
32,"3731 Dildock St Dallas, TX 75215",NA,NA,NA,"$59,000"
33,"106 S Edgefield Ave Dallas, TX 75208",NA,NA,NA,"$425,000"
34,"2555 N Pearl St #503 Dallas, TX 75201","1,750 sqft",2bd,3ba,"$1,495,000"
35,"4207 Ridge Rd Dallas, TX 75229",NA,NA,NA,"$750,000"
36,"3714 Dildock St Dallas, TX 75215",NA,NA,NA,"$59,000"
37,"3225 Turtle Creek Blvd #1605 Dallas, TX 75219",712 sqft,1bd,1ba,"$275,000"
38,"3022 Southland St Dallas, TX 75215",NA,NA,NA,"$79,000"
39,"1805 Shelmire Dr Dallas, TX 75224","2,194 sqft (on 0.28 acres)",3bd,3ba,"$615,000"
